"";"Acartia";"AdultsOfCalanus";"Copepodits1";"Copepodits2";"Copepodits3";"Copepodits4";"Copepodits5";"ClausocalanusA";"ClausocalanusB";"ClausocalanusC";"AdultsOfCentropages";"JuvenilesOfCentropages";"Nauplii";"Oithona";"Acanthaires";"Cladocerans";"EchinodermsLarvae";"DecapodsLarvae";"GasteropodsLarvae";"EggsOfCrustaceans";"Ostracods";"Pteropods";"Siphonophores";"BellsOfCalycophores"
"1";32;0;0;0;1;3;0;0;10;67;10;3;3;39;17;6;16;16;11;40;0;0;0;1
"2";99;0;0;0;4;7;0;4;43;262;40;9;30;239;31;17;43;41;27;13;1;2;1;0
"3";124;0;0;0;9;7;0;2;24;488;18;4;152;244;24;32;36;44;34;20;1;1;2;3
"4";82;0;0;12;12;14;1;8;40;167;19;7;46;328;29;11;8;73;64;19;2;5;2;0
"5";48;0;0;0;12;10;0;4;24;264;46;9;112;524;40;5;48;56;16;194;2;5;2;6
"6";52;0;0;6;22;8;4;0;14;320;62;24;80;564;18;8;58;70;10;42;5;7;1;3
"7";360;0;0;20;34;12;0;1;46;408;48;68;218;900;12;8;48;60;4;108;0;1;3;2
"8";252;0;0;34;20;4;0;12;92;736;66;64;254;892;0;48;45;22;14;88;2;4;1;16
"9";1032;0;0;88;40;6;6;12;48;1136;36;256;226;1224;24;200;128;16;56;50;1;3;7;6
"10";248;14;7;40;24;16;20;196;198;820;144;120;104;976;8;12;10;65;52;56;0;2;5;6
"11";200;13;25;16;16;12;16;160;284;320;85;82;52;756;4;4;8;20;52;16;1;0;2;6
"12";114;14;52;14;20;34;50;406;593;320;148;50;68;404;8;1;4;45;18;12;3;1;1;4
"13";92;2;20;18;18;14;26;448;508;388;128;64;32;1140;28;3;14;63;26;22;2;1;15;23
"14";164;4;8;20;12;8;16;328;496;532;260;156;32;1452;26;4;8;68;14;48;6;0;8;26
"15";300;12;24;24;18;28;32;372;428;488;296;256;84;2492;12;3;2;44;18;36;4;2;12;16
"16";776;28;152;24;32;32;120;832;1272;1512;336;232;336;2568;24;4;0;88;28;64;4;0;5;5
"17";456;40;108;28;36;44;108;360;612;1040;144;120;248;2032;24;0;4;136;24;60;0;0;0;0
"18";332;8;24;24;8;32;16;200;464;724;172;144;86;1276;12;0;8;28;20;124;12;0;8;24
"19";254;8;24;22;26;22;26;206;292;220;152;78;66;1660;14;0;10;8;32;68;2;0;8;4
"20";268;6;20;18;18;24;22;218;314;332;178;94;84;1916;16;0;18;4;40;52;4;1;14;16
"21";448;2;12;25;24;22;12;158;304;248;134;110;88;4588;4;1;2;9;12;26;5;0;6;14
"22";480;8;8;20;24;16;12;193;356;400;148;156;112;2428;3;4;0;8;18;144;6;0;4;4
"23";636;20;16;24;52;36;28;424;484;600;304;284;108;2478;12;0;0;8;24;88;2;0;14;8
"24";704;12;16;12;88;60;36;392;620;552;520;420;96;1764;24;4;6;12;0;24;4;0;12;7
"25";804;62;46;18;160;64;48;1980;1100;200;1360;696;152;2440;12;0;8;8;0;92;0;0;28;32
"26";624;36;52;20;100;132;80;1348;1412;304;832;452;84;1544;24;0;0;0;0;184;0;0;8;8
"27";516;104;68;28;136;60;168;1144;1392;604;564;276;112;1628;12;8;0;24;0;200;0;0;24;20
"28";680;48;32;12;132;84;144;1204;1288;428;720;352;80;1360;4;0;4;4;0;112;0;0;20;0
"29";480;128;76;56;136;160;128;1040;1204;400;840;272;96;1336;16;0;4;20;0;152;0;0;8;0
"30";404;266;104;52;104;144;160;1204;1208;360;584;200;76;1636;36;0;0;40;0;160;0;0;12;0
"31";392;160;124;32;124;168;136;1080;1008;220;1156;152;96;1840;52;4;0;40;0;112;0;0;8;0
"32";96;60;68;0;72;16;88;424;1080;288;664;0;72;2928;28;0;0;36;0;116;0;0;16;0
"33";280;80;140;32;80;80;104;744;7392;5472;1152;1080;208;6336;20;0;0;180;0;352;0;0;36;0
"34";112;128;96;32;48;20;176;96;9312;8512;1920;1332;80;7792;48;0;0;160;0;112;0;0;48;0
"35";64;704;432;136;96;136;120;888;1288;2336;360;320;256;2496;24;0;0;72;16;124;16;0;16;24
"36";48;241;272;72;152;88;112;608;752;1872;160;120;160;2512;16;0;0;48;0;208;8;0;0;0
"37";72;496;352;176;120;140;104;776;752;3056;184;160;224;2760;0;0;0;64;0;112;8;0;0;16
"38";24;280;192;40;40;40;48;240;840;8816;56;112;40;2896;24;0;0;128;0;200;0;0;0;40
"39";272;768;440;16;216;232;280;760;1144;1288;440;104;320;968;0;0;0;96;0;8;1;0;1;4
"40";432;64;184;40;136;144;96;240;592;848;288;144;288;760;16;0;0;40;0;352;0;0;0;0
"41";131;48;76;28;36;48;48;256;364;832;120;108;200;259;12;0;0;20;0;640;1;0;0;0
"42";156;48;76;56;80;28;52;264;632;928;44;64;96;1128;16;3;0;28;4;84;0;0;0;12
"43";84;88;156;16;28;28;24;136;260;344;68;32;24;1084;20;0;0;32;8;200;0;0;1;1
"44";24;84;156;12;32;28;84;264;380;528;120;68;60;1020;12;0;0;36;8;108;0;0;1;4
"45";258;180;138;12;34;40;50;168;414;806;182;40;44;904;12;0;0;38;0;52;0;1;1;0
"46";144;280;180;20;76;76;132;516;556;720;220;128;60;692;8;0;0;136;0;128;0;0;0;3
"47";100;48;56;32;64;44;44;136;272;720;60;84;116;1232;8;0;0;48;8;48;0;0;0;0
"48";368;156;148;72;136;72;56;480;928;1924;196;132;364;484;4;0;0;232;0;80;12;0;5;5
"49";822;218;516;224;354;266;108;2484;4024;4332;614;412;636;742;8;4;0;284;14;208;0;0;1;0
"50";288;80;248;104;96;88;112;824;1200;3040;288;296;216;728;4;0;0;32;0;48;0;0;0;0
"51";192;192;264;96;152;136;56;376;696;3936;224;400;104;856;0;0;0;128;0;144;1;0;1;1
"52";456;104;104;24;80;72;48;352;1072;2048;160;120;168;360;16;0;0;88;0;184;0;0;0;0
"53";376;24;28;16;80;60;28;160;766;1500;284;196;136;692;10;0;0;60;1;16;0;0;0;1
"54";152;104;176;40;176;88;80;640;1912;2592;304;384;168;1416;1;0;0;56;1;8;0;0;0;2
"55";88;88;184;16;104;120;72;280;1304;2408;184;112;160;1168;0;0;0;96;0;0;0;0;12;16
"56";56;168;200;64;112;136;158;488;2096;3096;72;208;232;904;0;0;0;128;0;16;0;0;0;24
"57";28;72;80;20;36;52;56;144;476;768;56;68;54;428;8;0;0;14;6;16;1;0;9;10
"58";12;59;77;10;14;16;31;328;812;1968;27;26;23;740;1;0;0;16;1;36;0;0;1;24
"59";18;26;56;44;38;26;22;56;368;2132;28;50;160;820;10;0;0;16;1;36;1;0;0;0
"60";36;44;56;52;40;24;16;112;288;2920;24;132;84;1200;0;0;0;96;0;8;0;0;0;16
"61";80;408;488;120;104;88;168;408;728;4880;120;32;104;2256;0;0;0;86;0;0;0;0;1;1
"62";40;180;216;60;28;48;56;308;1088;2588;76;120;104;1676;4;0;0;136;0;0;0;0;3;12
"63";16;30;64;58;20;10;10;68;210;1142;24;42;34;1394;26;0;0;24;0;100;1;0;8;18
"64";32;14;30;14;16;16;50;52;138;1492;24;52;44;1712;12;0;0;28;0;0;5;0;1;4
"65";32;24;44;38;24;10;20;84;150;1436;38;60;34;1208;38;0;0;24;6;6;4;0;3;18
"66";32;100;152;60;32;16;12;164;368;2696;68;88;116;2008;2;0;0;24;1;2;2;0;2;6
"67";24;376;384;80;96;48;80;656;752;4360;84;152;248;2336;8;0;0;120;0;0;7;0;10;20
"68";24;64;128;56;52;24;72;120;312;3056;72;72;168;1596;1;0;0;24;0;40;2;0;8;12
