Annees;Voitures
1;2006
2;3224
3;3789
4;4153
5;3100
6;2527
7;3015
8;1504
9;1847
10;2314
11;1673
12;1602
13;2247
14;3862
15;3586
16;4047
17;2838
18;2727
19;2730
20;1648
21;2007
22;2450
23;1966
24;1695
25;2433
26;3723
27;4325
28;4493
29;3399
30;3083
31;3247
32;1928
33;2377
34;2831
35;2388
36;2126
37;3127
38;4434
39;5478
40;4384
41;3552
42;3678
43;3611
44;2260
45;2699
46;3071
47;2510
48;2182
49;3016
50;4871
51;5218
52;4746
53;4814
54;3545
55;3341
56;2439
57;2637
58;3085
59;2737
60;2055
